File name: LAI_Global_Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Associated  documentation: A Global Database of Field-observed Leaf Area Index in Woody Plant Species, 1932-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing numeric values are represented by -9999. Missing text fields are blank cells. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference_number,Publication_year,Overstory_LAI_Original,Understory_LAI_Original,Total_LAI_Original,Source,Definition_overstory,Definition_understory,Definition_total,Conversion_factor_overstory,Conversion_factor_understory,Conversion_factor_total,Overstory_LAI_HSA,Understory_LAI_HSA,Total_LAI_HSA,Element_clumping_index_overstory,Element_clumping_index_total,Needle_clumping_index_overstory,Needle_clumping_index_total,Corrected_overstory_LAI_HSA,Corrected_total_LAI_HSA,Method,Method2,Notes_Method,MAT,MAP,Stand_age,Stand_age2,Dominant_species,PFT1,PFT2,PFT3,PFT4,Vegetation_status,Country,Location,Site,Latitude,Longitude,Altitude,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,7.8,-9999,7.8,T1,PA,,,1,-9999,1,7.8,-9999,7.8,1,1,1,1,7.8,7.8,D,Litter trap,,7.6,736,144,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Habichtswald,,51.33333333,9.333333333,550,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,7.4,-9999,7.4,T1,PA,,,1,-9999,1,7.4,-9999,7.4,1,1,1,1,7.4,7.4,D,Litter trap,,7.6,736,122,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Habichtswald,,51.33333333,9.333333333,550,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,6.4,-9999,6.4,T1,PA,,,1,-9999,1,6.4,-9999,6.4,1,1,1,1,6.4,6.4,D,Litter trap,,7.6,822,163,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Sohre,,52.1,9.966666667,310,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,6.5,-9999,6.5,T1,PA,,,1,-9999,1,6.5,-9999,6.5,1,1,1,1,6.5,6.5,D,Litter trap,,7.6,822,163,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Sohre,,52.1,9.966666667,480,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,6.8,-9999,6.8,T1,PA,,,1,-9999,1,6.8,-9999,6.8,1,1,1,1,6.8,6.8,D,Litter trap,,7.6,822,163,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Sohre,,52.1,9.966666667,480,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,6.4,-9999,6.4,T1,PA,,,1,-9999,1,6.4,-9999,6.4,1,1,1,1,6.4,6.4,D,Litter trap,,7.6,822,163,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Sohre,,52.1,9.966666667,480,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,7.7,-9999,7.7,T1,PA,,,1,-9999,1,7.7,-9999,7.7,1,1,1,1,7.7,7.7,D,Litter trap,,7.6,822,163,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Sohre,,52.1,9.966666667,480,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,9.5,-9999,9.5,T1,PA,,,1,-9999,1,9.5,-9999,9.5,1,1,1,1,9.5,9.5,D,Litter trap,,7.6,656,85,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Ziegelrodaer Forst,,51.33333333,11.46666667,290,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,7.3,-9999,7.3,T1,PA,,,1,-9999,1,7.3,-9999,7.3,1,1,1,1,7.3,7.3,D,Litter trap,,7.6,656,85,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Ziegelrodaer Forst,,51.33333333,11.46666667,290,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,6.5,-9999,6.5,T1,PA,,,1,-9999,1,6.5,-9999,6.5,1,1,1,1,6.5,6.5,D,Litter trap,,7.6,1031,150,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Solling,,51.73333333,9.7,528,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,6.7,-9999,6.7,T1,PA,,,1,-9999,1,6.7,-9999,6.7,1,1,1,1,6.7,6.7,D,Litter trap,,7.6,520,117,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Ziegelrodaer Forst,,51.33333333,11.46666667,290,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,8.5,-9999,8.5,T1,PA,,,1,-9999,1,8.5,-9999,8.5,1,1,1,1,8.5,8.5,D,Litter trap,,7.6,520,117,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Ziegelrodaer Forst,,51.33333333,11.46666667,280,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,8.6,-9999,8.6,T1,PA,,,1,-9999,1,8.6,-9999,8.6,1,1,1,1,8.6,8.6,D,Litter trap,,7.6,520,117,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Ziegelrodaer Forst,,51.33333333,11.46666667,280,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006,6.8,-9999,6.8,T1,PA,,,1,-9999,1,6.8,-9999,6.8,1,1,1,1,6.8,6.8,D,Litter trap,,7.6,801,100,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Luneburger Heide,,52.75,10.5,110,"Shrub layer is absent, Mixture of plantation and regeneration forests with intensive management. But, there was no disturbance for at least 10-15 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,6,-9999,6,F5,PA,,,1,-9999,1,6,-9999,6,1,1,1,1,6,6,D,Litter trap,,7.3,970,136,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Hellental,,51.8,9.6,400,"Shrub layer is absent. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,6.72,-9999,6.72,F5,PA,,,1,-9999,1,6.72,-9999,6.72,1,1,1,1,6.72,6.72,D,Litter trap,,7.4,950,153,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Limker Strang,,51.71666667,9.666666667,380,"Shrub layer is absent. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,7.9,-9999,7.9,F5,PA,,,1,-9999,1,7.9,-9999,7.9,1,1,1,1,7.9,7.9,D,Litter trap,,7.7,910,126,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Storenhai,,51.73333333,9.433333333,340,"Shrub layer is absent. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,7.38,-9999,7.38,F5,PA,,,1,-9999,1,7.38,-9999,7.38,1,1,1,1,7.38,7.38,D,Litter trap,,8.2,860,99,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Lamspringe,,51.95,10.03333333,250,"Shrub layer is absent. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,6.9,-9999,6.9,F5,PA,,,1,-9999,1,6.9,-9999,6.9,1,1,1,1,6.9,6.9,D,Litter trap,,7.3,820,157,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Totenberg,,51.53333333,9.65,410,"Shrub layer is absent. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,7.12,-9999,7.12,F5,PA,,,1,-9999,1,7.12,-9999,7.12,1,1,1,1,7.12,7.12,D,Litter trap,,7.1,800,143,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Jagerborn,,51.31666667,9.733333333,440,"Shrub layer is absent. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,6.9,-9999,6.9,F5,PA,,,1,-9999,1,6.9,-9999,6.9,1,1,1,1,6.9,6.9,D,Litter trap,,8.2,680,90,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Knull,,51.48333333,10.01666667,250,"Shrub layer is absent. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,7.18,-9999,7.18,F5,PA,,,1,-9999,1,7.18,-9999,7.18,1,1,1,1,7.18,7.18,D,Litter trap,,7.7,670,132,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Gerterode,,51.38333333,10.48333333,340,"Shrub layer is absent. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,6.18,-9999,6.18,F5,PA,,,1,-9999,1,6.18,-9999,6.18,1,1,1,1,6.18,6.18,D,Litter trap,,7.8,650,98,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Herrenholz,,51.53333333,10.45,320,"Shrub layer is absent. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,7.37,-9999,7.14,F5,PA,,,1,-9999,1,7.37,-9999,7.14,1,1,1,1,7.37,7.14,D,Litter trap,,7.9,580,119,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Hardt & Kommissionsbuchen,,51.28333333,11.15833333,300,"Average LAI of 2 plots. Shrub layer is absent. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,7.66,-9999,7.14,F5,PA,,,1,-9999,1,7.66,-9999,7.14,1,1,1,1,7.66,7.14,D,Litter trap,,8.3,550,131.5,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Hohelinde & Ziegelroda,,51.325,11.425,235,"Average LAI of 2 plots. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,9.2,-9999,9.2,F5,PA,,,1,-9999,1,9.2,-9999,9.2,1,1,1,1,9.2,9.2,D,Litter trap,,8,520,123,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Mix,Germany,Allstedt,,51.36666667,11.41666667,280,"Shrub layer is absent. Mixture of plantations and regeneration forests. But, there was no disturbance for at least 7 years, in most cases for more than 10 years prior to the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1998,7.4,-9999,7.4,T2,PA,,,1,-9999,1,7.4,-9999,7.4,1,1,1,1,7.4,7.4,D,Litter trap,,,,47,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Not described,Italy,Catenaia,Unthinned plot (1993),43.98333333,11.91666667,1000,Coppice forest converted into high forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1998,4.91,-9999,4.91,T2,PA,,,1,-9999,1,4.91,-9999,4.91,1,1,1,1,4.91,4.91,D,Litter trap,,7.2,1100,90,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Not described,Italy,Collelongo,Unthinned plot (1993),41.86666667,13.63333333,1560,Hight forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1998,7.4,-9999,7.4,T2,PA,,,1,-9999,1,7.4,-9999,7.4,1,1,1,1,7.4,7.4,D,Litter trap,,11.6,1083,39,,Quercus cerris,TREE,ANGIO,BROAD,DECID,Not described,Italy,Valsavignone,Unthinned plot (1993),43.71666667,12.03333333,700,Coppice forest converted into high forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1998,4.9,-9999,4.9,T2,PA,,,1,-9999,1,4.9,-9999,4.9,1,1,1,1,4.9,4.9,D,Litter trap,,15.4,841,40,,Quercus cerris,TREE,ANGIO,BROAD,DECID,Not described,Italy,Caselli,Unthinned plot (1993),43.23333333,10.7,305,Coppice forest converted into high forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2008,7.4,-9999,7.4,T4,PA,,,1,-9999,1,7.4,-9999,7.4,1,1,1,1,7.4,7.4,D,Litter trap,,10.1,770,35,,Fagus sylvatica,TREE,ANGIO,BROAD,DECID,Natural,France,Hesse forest,,48.453,7.927,300,"Understory vegetation is sparse, Fenced plot in regeneration forest, Thinning is applied in 1995, 1999 and 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,0.65,-9999,0.65,Ts1,PA,,,1,-9999,1,0.65,-9999,0.65,1,1,1,1,0.65,0.65,IC,Hemispherical photograph,,14.9,791,,M,Eucalyptus cupularis/Eucalyptus fasciculosa,TREE,ANGIO,BROAD,EVER,Natural,Australia,Southern Australia,,-35.09,138.68,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,0.44,-9999,0.44,Ts1,PA,,,1,-9999,1,0.44,-9999,0.44,1,1,1,1,0.44,0.44,IC,Hemispherical photograph,,16,546,,M,Eucalyptus fasciculosa,TREE,ANGIO,BROAD,EVER,Natural,Australia,Southern Australia,,-35.29,138.45,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,1.34,-9999,1.34,Ts1,PA,,,1,-9999,1,1.34,-9999,1.34,1,1,1,1,1.34,1.34,IC,Hemispherical photograph,,14.2,878,,M,Eucalyptus obliqua,TREE,ANGIO,BROAD,EVER,Natural,Australia,Southern Australia,,-35.29,138.58,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,0.25,-9999,0.25,Ts1,PA,,,1,-9999,1,0.25,-9999,0.25,1,1,1,1,0.25,0.25,IC,Hemispherical photograph,,16.3,288,,M,Eucalyptus letophylla/Eucalyptus incrassata,TREE,ANGIO,BROAD,EVER,Natural,Australia,Southern Australia,,-34.4864,139.918,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,1.52,-9999,1.52,Ts1,PA,,,1,-9999,1,1.52,-9999,1.52,1,1,1,1,1.52,1.52,IC,Hemispherical photograph,,16,304,,M,Eucalyptus camaldulensis,TREE,ANGIO,BROAD,EVER,Natural,Australia,Southern Australia,,-34.6432,139.3695,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,0.95,-9999,0.95,Ts1,PA,,,1,-9999,1,0.95,-9999,0.95,1,1,1,1,0.95,0.95,IC,Hemispherical photograph,,15.3,598,,M,Eucalyptus luecoxylon,TREE,ANGIO,BROAD,EVER,Natural,Australia,Southern Australia,,-35.41,138.73,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,0.75,-9999,0.75,Ts1,PA,,,1,-9999,1,0.75,-9999,0.75,1,1,1,1,0.75,0.75,IC,Hemispherical photograph,,15.3,590,,M,Eucalyptus fasciculosa,TREE,ANGIO,BROAD,EVER,Natural,Australia,Southern Australia,,-35.4108,138.7337,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,0.69,-9999,0.69,Ts1,PA,,,1,-9999,1,0.69,-9999,0.69,1,1,1,1,0.69,0.69,IC,Hemispherical photograph,,14.9,647,,M,Eucalyptus porosa,TREE,ANGIO,BROAD,EVER,Natural,Australia,Southern Australia,,-35.312,138.7954,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,1.23,-9999,1.23,Ts1,PA,,,1,-9999,1,1.23,-9999,1.23,1,1,1,1,1.23,1.23,IC,Hemispherical photograph,,14.2,842,,M,Eucalyptus obliqua,TREE,ANGIO,BROAD,EVER,Natural,Australia,Southern Australia,,-35.2973,138.6833,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,0.99,-9999,0.99,Ts1,PA,,,1,-9999,1,0.99,-9999,0.99,1,1,1,1,0.99,0.99,IC,Hemispherical photograph,,14.5,855,,M,Eucalyptus viminalis,TREE,ANGIO,BROAD,EVER,Natural,Australia,Southern Australia,,-35.0746,138.6929,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,1.13,-9999,1.13,Ts1,PA,,,1,-9999,1,1.13,-9999,1.13,1,1,1,1,1.13,1.13,IC,Hemispherical photograph,,9.8,737,,M,Eucalyptus radiata,TREE,ANGIO,BROAD,EVER,Natural,Australia,South Eastern Australia,,-36.6605,149.3208,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,1.96,-9999,1.96,Ts1,PA,,,1,-9999,1,1.96,-9999,1.96,1,1,1,1,1.96,1.96,IC,Hemispherical photograph,,14.9,863,,M,Eucalyptus sieberi,TREE,ANGIO,BROAD,EVER,Natural,Australia,South Eastern Australia,,-37.2529,149.8751,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,1.08,-9999,1.08,Ts1,PA,,,1,-9999,1,1.08,-9999,1.08,1,1,1,1,1.08,1.08,IC,Hemispherical photograph,,14.9,851,,M,Eucalyptus ovata,TREE,ANGIO,BROAD,EVER,Natural,Australia,South Eastern Australia,,-37.2943,149.9186,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,1.95,-9999,1.95,Ts1,PA,,,1,-9999,1,1.95,-9999,1.95,1,1,1,1,1.95,1.95,IC,Hemispherical photograph,,15,853,,M,Eucalyptus cypellocarpa,TREE,ANGIO,BROAD,EVER,Natural,Australia,South Eastern Australia,,-37.2902,149.8902,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,1.93,-9999,1.93,Ts1,PA,,,1,-9999,1,1.93,-9999,1.93,1,1,1,1,1.93,1.93,IC,Hemispherical photograph,,11.6,905,,M,Eucalyptus obliqua/Eucalyptus cypellocarpa,TREE,ANGIO,BROAD,EVER,Natural,Australia,South Eastern Australia,,-36.975,149.4321,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,1.8,-9999,1.8,Ts1,PA,,,1,-9999,1,1.8,-9999,1.8,1,1,1,1,1.8,1.8,IC,Hemispherical photograph,,12.1,912,,M,Eucalyptus dives,TREE,ANGIO,BROAD,EVER,Natural,Australia,South Eastern Australia,,-37.1267,149.405,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,2.93,-9999,2.93,Ts1,PA,,,1,-9999,1,2.93,-9999,2.93,1,1,1,1,2.93,2.93,IC,Hemispherical photograph,,10.6,926,,M,Eucalyptus fastigata,TREE,ANGIO,BROAD,EVER,Natural,Australia,South Eastern Australia,,-36.9927,149.4036,-9999,"LAI: Personal communication with the author, Undisturbed for at least 30 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,
